Name,Year,Month,Day,Date,Time,Latitude,Longitude,Maximum Wind (kt),Minimum Pressure (mb),Category,Status
             ALETTA,2000,05,22,20000522,1200,13.3,-99.2,25,1005,2, Tropical Depression
             ALETTA,2000,05,22,20000522,1800,13.9,-100.2,30,1004,2, Tropical Depression
             ALETTA,2000,05,23,20000523,0000,14.3,-101.1,30,1003,2, Tropical Depression
             ALETTA,2000,05,23,20000523,0600,14.5,-101.8,35,1002,2, Tropical Storm
             ALETTA,2000,05,23,20000523,1200,14.5,-102.5,40,1001,2, Tropical Storm
             ALETTA,2000,05,23,20000523,1800,14.5,-103.1,45,1000,2, Tropical Storm
             ALETTA,2000,05,24,20000524,0000,14.6,-103.7,50,997,2, Tropical Storm
             ALETTA,2000,05,24,20000524,0600,14.6,-104.3,60,990,2, Tropical Storm
             ALETTA,2000,05,24,20000524,1200,14.7,-105.1,70,983,2, Hurricane
             ALETTA,2000,05,24,20000524,1800,14.8,-105.9,90,975,2, Hurricane
             ALETTA,2000,05,25,20000525,0000,14.9,-106.6,90,970,2, Hurricane
             ALETTA,2000,05,25,20000525,0600,15,-107.3,90,972,2, Hurricane
             ALETTA,2000,05,25,20000525,1200,15.1,-107.7,85,974,2, Hurricane
             ALETTA,2000,05,25,20000525,1800,15,-107.7,85,975,2, Hurricane
             ALETTA,2000,05,26,20000526,0000,14.8,-107.7,80,977,2, Hurricane
             ALETTA,2000,05,26,20000526,0600,14.8,-107.6,75,979,2, Hurricane
             ALETTA,2000,05,26,20000526,1200,14.8,-107.5,70,980,2, Hurricane
             ALETTA,2000,05,26,20000526,1800,15,-107.8,65,985,2, Hurricane
             ALETTA,2000,05,27,20000527,0000,14.8,-107.8,60,990,2, Tropical Storm
             ALETTA,2000,05,27,20000527,0600,15.1,-107.5,55,995,2, Tropical Storm
             ALETTA,2000,05,27,20000527,1200,15.4,-107.4,45,1000,2, Tropical Storm
             ALETTA,2000,05,27,20000527,1800,15.6,-107.5,30,1004,2, Tropical Depression
